Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote,lat,lng
50124,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,91208,LOS ANGELES,(818) 790-7100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,5,1,4,0,,8,6,0,6,0,,11,7,1,5,1,,8,8,,12,11,,34.19333,-118.23839
50126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91405,LOS ANGELES,(818) 782-6600,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,,7,6,1,5,0,,8,7,1,6,0,,11,8,0,6,2,,8,8,,12,9,,34.20153,-118.44863
50132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,(626) 289-5454,Acute Care Hospitals,Proprietary,Yes,Y,4,,7,5,2,3,0,,8,6,1,5,0,,11,6,0,6,0,,8,8,,12,8,,34.08987,-118.09519
50135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,HOLLYWOOD,CA,90028,LOS ANGELES,(323) 462-2271,Acute Care Hospitals,Proprietary,Yes,,4,,7,6,2,4,0,,8,5,3,2,0,,11,6,0,5,1,,8,8,,12,7,,34.09982,-118.3268
50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,LOS ANGELES,(818) 375-2000,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,4,,7,Not Available,Not Available,Not Available,Not Available,5.0,8,6,2,4,0,,11,1,0,1,0,,8,8,,12,6,,34.22413,-118.4448
50138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BLVD,LOS ANGELES,CA,90027,LOS ANGELES,(323) 783-4011,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,4,,7,1,0,1,0,,8,6,1,5,0,,11,1,0,1,0,,8,8,,12,6,,34.12515,-118.29049
50139,KAISER FOUNDATION HOSPITAL - DOWNEY,9333 IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,(562) 461-6007,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,2,,7,Not Available,Not Available,Not Available,Not Available,5.0,8,7,1,6,0,,11,1,0,1,0,,8,8,,12,6,,33.92216,-118.14167
50149,CALIFORNIA HOSPITAL MEDICAL CENTER LA,1401 SOUTH GRAND AVENUE,LOS ANGELES,CA,90015,LOS ANGELES,(213) 748-2411,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,,7,4,0,4,0,,8,8,1,7,0,,11,6,0,6,0,,8,8,,12,9,,34.03932,-118.26625
50158,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BLVD,ENCINO,CA,91436,LOS ANGELES,(818) 995-5000,Acute Care Hospitals,Proprietary,No,,2,,7,2,1,1,0,,8,3,1,2,0,,11,3,0,3,0,,8,8,,12,7,,34.15219,-118.49053
50169,PIH HEALTH HOSPITAL-WHITTIER,12401 WASHINGTON BLVD,WHITTIER,CA,90602,LOS ANGELES,(562) 698-0811,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,7,0,7,0,,8,8,0,8,0,,11,11,0,10,1,,8,8,,12,11,,33.97317,-118.02341
50191,ST MARY MEDICAL CENTER,1050 LINDEN AVE,LONG BEACH,CA,90813,LOS ANGELES,(562) 491-9000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,,7,6,0,6,0,,8,6,1,5,0,,11,6,0,5,1,,8,8,,12,9,,33.78237,-118.19656
50204,PALMDALE REGIONAL MEDICAL CENTER,38600 MEDICAL CENTER DRIVE,PALMDALE,CA,93552,LOS ANGELES,(661) 382-5000,Acute Care Hospitals,Proprietary,Yes,Y,3,,7,6,0,6,0,,8,7,1,6,0,,11,7,1,6,0,,8,8,,12,9,,34.58412,-118.02386
50231,POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 N GAREY AVE,POMONA,CA,91767,LOS ANGELES,(909) 865-9500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,7,0,7,0,,8,7,3,4,0,,11,11,1,9,1,,8,8,,12,10,,34.08143,-117.73868
50235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,501 SOUTH BUENA VISTA STREET,BURBANK,CA,91505,LOS ANGELES,(818) 843-5111,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,,7,7,1,6,0,,8,8,3,5,0,,11,11,1,7,3,,8,8,,12,10,,34.17583,-118.34692
50238,USC ARCADIA HOSPITAL,300 W HUNTINGTON DR,ARCADIA,CA,91007,LOS ANGELES,(626) 898-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,6,0,6,0,,8,7,0,7,0,,11,8,0,7,1,,8,8,,12,9,,34.12842,-118.04818
50239,GLENDALE ADVENTIST MEDICAL CENTER,1509 E WILSON TERRACE,GLENDALE,CA,91206,LOS ANGELES,(818) 409-8202,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,7,7,2,5,0,,8,7,5,2,0,,11,9,0,8,1,,8,8,,12,11,,34.16076,-118.21311
50262,RONALD REAGAN UCLA MEDICAL CENTER,757 WESTWOOD PLAZA,LOS ANGELES,CA,90095,LOS ANGELES,(310) 825-6301,Acute Care Hospitals,Government - State,Yes,Y,4,,7,7,2,5,0,,8,6,3,3,0,,11,10,0,8,2,,8,8,,12,9,,34.07121,-118.44334
50278,PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI ST,MISSION HILLS,CA,91346,LOS ANGELES,(818) 365-8051,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,,7,6,0,6,0,,8,8,2,6,0,,11,10,0,10,0,,8,8,,12,9,,34.28015,-118.46034
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,(562) 826-8000,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,3,,7,5,2,3,0,,8,4,0,4,0,,11,6,0,6,0,,8,8,,12,6,,33.77825,-118.11871
50281,ALHAMBRA HOSPITAL MEDICAL CENTER,100 S RAYMOND AVE,ALHAMBRA,CA,91801,LOS ANGELES,(626) 570-1606,Acute Care Hospitals,Proprietary,No,,3,,7,3,0,3,0,,8,5,0,5,0,,11,3,0,2,1,,8,8,,12,7,,34.09093,-118.12776
50290,SAINT JOHN'S HEALTH CENTER,2121 SANTA MONICA BLVD,SANTA MONICA,CA,90404,LOS ANGELES,(310) 829-5511,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,7,7,3,4,0,,8,7,2,5,0,,11,11,1,9,1,,8,8,,12,8,,34.02665,-118.47381
50350,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,309 W BEVERLY BLVD,MONTEBELLO,CA,90640,LOS ANGELES,(323) 726-1222,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2,,7,5,0,5,0,,8,5,0,4,1,,11,5,0,4,1,,8,Not Available,5.0,12,7,,34.01506,-118.111
50351,TORRANCE MEMORIAL MEDICAL CENTER,3330 LOMITA BLVD,TORRANCE,CA,90509,LOS ANGELES,(310) 325-9110,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,,7,7,2,5,0,,8,8,2,6,0,,11,11,2,8,1,,8,8,,12,11,,33.81347,-118.34419
50353,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,4101 TORRANCE BLVD,TORRANCE,CA,90503,LOS ANGELES,(310) 540-7676,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,4,,7,6,1,5,0,,8,8,2,6,0,,11,8,0,7,1,,8,8,,12,11,,33.84089,-118.3538
50373,LOS ANGELES GENERAL MEDICAL CENTER,"2051 MARENGO ST, ROOM C2K100",LOS ANGELES,CA,90033,LOS ANGELES,(323) 226-2800,Acute Care Hospitals,Government - Local,Yes,Y,2,,7,6,0,6,0,,8,6,3,3,0,,11,7,0,7,0,,8,8,,12,9,,34.05117,-118.21165
50376,LAC/HARBOR-UCLA MED CENTER,1000 W CARSON ST,TORRANCE,CA,90509,LOS ANGELES,(310) 222-2345,Acute Care Hospitals,Government - Local,Yes,Y,1,,7,6,0,6,0,,8,6,1,3,2,,11,8,0,8,0,,8,8,,12,10,,33.8298,-118.2947
50378,PACIFICA HOSPITAL OF THE VALLEY,9449 SAN FERNANDO RD,SUN VALLEY,CA,91352,LOS ANGELES,(818) 767-3310,Acute Care Hospitals,Proprietary,Yes,,1,,7,Not Available,Not Available,Not Available,Not Available,5.0,8,4,0,3,1,,11,1,0,1,0,,8,8,,12,6,,34.23183,-118.36596
50382,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,210 W  SAN BERNARDINO ROAD,COVINA,CA,91723,LOS ANGELES,(626) 814-2468,Acute Care Hospitals,Proprietary,Yes,Y,1,,7,7,0,6,1,,8,7,2,5,0,,11,9,0,7,2,,8,8,,12,10,,34.08495,-117.88652
50393,PIH HEALTH DOWNEY HOSPITAL,11500 BROOKSHIRE AVENUE,DOWNEY,CA,90241,LOS ANGELES,(562) 904-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,,7,4,0,4,0,,8,7,1,6,0,,11,7,1,6,0,,8,8,,12,8,,33.94076,-118.1295
50411,KAISER FOUNDATION HOSPITAL - SOUTH BAY,25825 SOUTH VERMONT AVENUE,HARBOR CITY,CA,90710,LOS ANGELES,(310) 325-5111,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,4,,7,Not Available,Not Available,Not Available,Not Available,5.0,8,6,1,5,0,,11,2,0,2,0,,8,8,,12,6,,33.79806,-118.29918
50438,HUNTINGTON HOSPITAL,100 W  CALIFORNIA BLVD,PASADENA,CA,91109,LOS ANGELES,(626) 397-5000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,,7,7,1,6,0,,8,8,0,7,1,,11,9,0,7,2,,8,8,,12,10,,34.1346,-118.1530
50468,MEMORIAL HOSPITAL OF GARDENA,1145 W REDONDO BEACH BLVD,GARDENA,CA,90247,LOS ANGELES,(310) 532-4200,Acute Care Hospitals,Proprietary,Yes,,1,,7,4,0,4,0,,8,5,1,3,1,,11,4,0,3,1,,8,8,,12,8,,33.89159,-118.29735
50471,PIH HEALTH GOOD SAMARITAN HOSPITAL,1225 WILSHIRE BOULEVARD,LOS ANGELES,CA,90017,LOS ANGELES,(213) 977-2121,Acute Care Hospitals,Proprietary,No,Y,2,,7,7,0,7,0,,8,7,1,6,0,,11,9,0,6,3,,8,8,,12,10,,34.05306,-118.26447
50481,UCLA WEST VALLEY MEDICAL CENTER,7300 MEDICAL CENTER DR,WEST HILLS,CA,91307,LOS ANGELES,(818) 676-4000,Acute Care Hospitals,Proprietary,Yes,,2,,7,7,1,6,0,,8,7,1,6,0,,11,8,0,4,4,,8,8,,12,8,,34.20177,-118.66226
50485,MEMORIALCARE LONG BEACH MEDICAL CENTER,2801 ATLANTIC AVE,LONG BEACH,CA,90806,LOS ANGELES,(562) 933-2000,Acute Care Hospitals,Voluntary non-profit - Other,No,,2,,7,7,0,7,0,,8,8,2,6,0,,11,11,0,11,0,,8,8,,12,10,,33.80819,-118.17797
50561,KAISER FOUNDATION HOSPITAL - WEST LA,6041 CADILLAC AVE,LOS ANGELES,CA,90034,LOS ANGELES,(213) 857-2201,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,3,,7,Not Available,Not Available,Not Available,Not Available,5.0,8,6,2,4,0,,11,1,0,1,0,,8,8,,12,6,,34.03059,-118.39936
50581,UCI HEALTH-LAKEWOOD,3700 SOUTH ST,LAKEWOOD,CA,90712,LOS ANGELES,(562) 602-6751,Acute Care Hospitals,Proprietary,Yes,,2,,7,6,0,6,0,,8,6,2,4,0,,11,7,0,5,2,,8,8,,12,8,,33.849,-118.14677
50588,SAN DIMAS COMMUNITY HOSPITAL,1350 W COVINA BLVD,SAN DIMAS,CA,91773,LOS ANGELES,(909) 599-6811,Acute Care Hospitals,Proprietary,Yes,,1,,7,2,0,2,0,,8,4,0,4,0,,11,5,0,4,1,,8,8,,12,10,,34.1072,-117.80928
50597,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,250 S GRAND AVE,GLENDORA,CA,91740,LOS ANGELES,(626) 963-8411,Acute Care Hospitals,Voluntary non-profit - Private,No,,3,,7,5,0,5,0,,8,6,1,5,0,,11,6,0,6,0,,8,8,,12,8,,34.11884,-117.8534
50624,HENRY MAYO NEWHALL  HOSPITAL,23845  MCBEAN PKWY,VALENCIA,CA,91355,LOS ANGELES,(661) 253-8000,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,2,,7,6,0,6,0,,8,7,1,6,0,,11,9,0,7,2,,8,8,,12,11,,34.42379,-118.58437
50625,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,CA,90048,LOS ANGELES,(310) 423-5000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,5,,7,7,6,1,0,,8,8,3,5,0,,11,11,2,6,3,,8,8,,12,11,,34.07293,-118.3727
50641,EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BLVD,LOS ANGELES,CA,90023,LOS ANGELES,(323) 268-5514,Acute Care Hospitals,Proprietary,Yes,Y,Not Available,16.0,7,2,0,2,0,,8,2,0,2,0,,11,3,0,3,0,,8,8,,12,8,,34.02264,-118.19986
50663,LOS ANGELES COMMUNITY HOSPITAL,4081 E OLYMPIC BLVD,LOS ANGELES,CA,90023,LOS ANGELES,(323) 267-0477,Acute Care Hospitals,Proprietary,Yes,,2,,7,3,2,1,0,,8,5,1,3,1,,11,5,0,4,1,,8,8,,12,7,,34.02264,-118.19986
50677,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,5601 DE SOTO AVENUE,WOODLAND HILLS,CA,91367,LOS ANGELES,(818) 719-3800,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,3,,7,Not Available,Not Available,Not Available,Not Available,5.0,8,6,1,4,1,,11,1,0,1,0,,8,8,,12,6,,34.17708,-118.61518
50696,KECK HOSPITAL OF USC,1500 SAN PABLO STREET,LOS ANGELES,CA,90033,LOS ANGELES,(323) 442-8656,Acute Care Hospitals,Voluntary non-profit - Other,No,,4,,7,5,0,5,0,,8,8,1,6,1,,11,10,1,8,1,,8,8,,12,8,,34.05117,-118.21165
50704,MISSION COMMUNITY HOSPITAL,14850 ROSCOE BLVD,PANORAMA CITY,CA,91402,LOS ANGELES,(818) 904-3100,Acute Care Hospitals,Voluntary non-profit - Private,No,,1,,7,4,0,4,0,,8,6,0,4,2,,11,5,0,4,1,,8,8,,12,8,,34.22413,-118.4448
50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,(562) 401-7022,Acute Care Hospitals,Government - Local,No,,3,,7,Not Available,Not Available,Not Available,Not Available,5.0,8,4,0,3,1,,11,1,0,1,0,,8,8,,12,3,,33.92216,-118.14167
50723,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,1011 BALDWIN PARK BLVD,BALDWIN PARK,CA,91706,LOS ANGELES,(626) 851-1011,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,2,,7,Not Available,Not Available,Not Available,Not Available,5.0,8,6,0,6,0,,11,1,0,1,0,,8,8,,12,6,,34.09627,-117.96855
50735,WHITTIER HOSPITAL MEDICAL CENTER,9080 COLIMA RD,WHITTIER,CA,90605,LOS ANGELES,(562) 945-3561,Acute Care Hospitals,Proprietary,Yes,Y,2,,7,2,0,2,0,,8,4,1,3,0,,11,5,0,4,1,,8,8,,12,9,,33.95209,-118.02085
50736,MONTEREY PARK HOSPITAL,900 S ATLANTIC BLVD,MONTEREY PARK,CA,91754,LOS ANGELES,(626) 570-9000,Acute Care Hospitals,Proprietary,No,,1,,7,2,0,2,0,,8,4,0,3,1,,11,4,0,4,0,,8,8,,12,8,,34.051,-118.14451
50737,GARFIELD MEDICAL CENTER,525 N GARFIELD AVE,MONTEREY PARK,CA,91754,LOS ANGELES,(626) 573-2222,Acute Care Hospitals,Proprietary,Yes,Y,1,,7,6,0,5,1,,8,6,1,5,0,,11,8,0,5,3,,8,8,,12,9,,34.051,-118.14451
50738,GREATER EL MONTE COMMUNITY HOSPITAL,1701 SANTA ANITA AVE,SOUTH EL MONTE,CA,91733,LOS ANGELES,(626) 350-7975,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,2,,7,3,0,3,0,,8,4,0,4,0,,11,3,0,3,0,,8,8,,12,7,,34.0454,-118.05314
50739,CENTINELA HOSPITAL MEDICAL CENTER,555 EAST HARDY STREET,INGLEWOOD,CA,90301,LOS ANGELES,(310) 673-4660,Acute Care Hospitals,Proprietary,No,Y,2,,7,6,2,4,0,,8,6,2,4,0,,11,5,0,3,2,,8,8,,12,9,,33.95647,-118.35863
50740,CEDAR-SINAI MARINA DEL REY HOSPITAL,4650 LINCOLN BLVD,MARINA DEL REY,CA,90292,LOS ANGELES,(310) 823-8911,Acute Care Hospitals,Proprietary,Yes,,4,,7,4,1,3,0,,8,6,1,5,0,,11,6,0,4,2,,8,8,,12,8,,33.97865,-118.44707
50755,SHERMAN OAKS HOSPITAL,4929 VAN NUYS BLVD,SHERMAN OAKS,CA,91403,LOS ANGELES,(818) 981-7111,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2,,7,5,2,3,0,,8,5,1,4,0,,11,6,0,3,3,,8,8,,12,7,,34.14716,-118.46311
50761,PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,CA,91356,LOS ANGELES,(818) 881-0800,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,7,0,7,0,,8,8,0,8,0,,11,10,0,7,3,,8,8,,12,9,,34.15504,-118.54757
50763,L A DOWNTOWN MEDICAL CENTER,1711 WEST TEMPLE STREET,LOS ANGELES,CA,90026,LOS ANGELES,(213) 989-6123,Acute Care Hospitals,Proprietary,No,,2,,7,3,1,2,0,,8,3,0,3,0,,11,5,0,2,3,,8,Not Available,5.0,12,4,,34.07883,-118.2637
50771,COAST PLAZA HOSPITAL,13100 STUDERBAKER ROAD,NORWALK,CA,90650,LOS ANGELES,(562) 868-3751,Acute Care Hospitals,Proprietary,Yes,,1,,7,2,0,2,0,,8,3,0,3,0,,11,3,0,2,1,,8,8,,12,8,,33.90703,-118.08249
50776,COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,CA,90806,LOS ANGELES,(562) 595-1911,Acute Care Hospitals,Proprietary,Yes,,2,,7,3,0,3,0,,8,4,0,4,0,,11,5,0,5,0,,8,8,,12,8,,33.80819,-118.17797
50779,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",1680 EAST 120TH STREET,LOS ANGELES,CA,90059,LOS ANGELES,(424) 835-6808,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,7,2,0,2,0,,8,6,1,5,0,,11,4,0,3,1,,8,8,,12,9,,33.92709,-118.2491
50782,CASA COLINA HOSPITAL,255 E BONITA AVE,POMONA,CA,91767,LOS ANGELES,(909) 596-7733,Acute Care Hospitals,Voluntary non-profit - Private,No,,3,,7,2,0,2,0,,8,4,0,4,0,,11,6,1,5,0,,8,8,,12,4,,34.08143,-117.73868
50785,DOCS SURGICAL HOSPITAL,6000 SAN VICENTE BLVD,LOS ANGELES,CA,90036,LOS ANGELES,(323) 930-1040,Acute Care Hospitals,Physician,No,,Not Available,16.0,7,Not Available,Not Available,Not Available,Not Available,5.0,8,2,0,2,0,,11,2,0,2,0,,8,8,,12,2,,34.07013,-118.34978
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,LOS ANGELES,CA,90073,LOS ANGELES,(310) 478-3711,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,3,,7,5,2,3,0,,8,4,0,4,0,,11,6,0,3,3,,8,8,,12,6,,34.05738,-118.45956
51307,CATALINA ISLAND MEDICAL CENTER,100 FALLS CANYON ROAD,AVALON,CA,90704,LOS ANGELES,(310) 510-0700,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16.0,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,2,,33.3765,-118.43678
53302,CHILDREN'S HOSP OF LOS ANGELES,"4650 SUNSET BLVD, MS 108",LOS ANGELES,CA,90027,LOS ANGELES,(323) 669-2164,Childrens,Voluntary non-profit - Private,Yes,,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0,34.12515,-118.29049
53309,MEMORIAL CARE MILLER CHILDREN'S &  WOMEN'S HOSP LB,2801 ATLANTIC AVENUE,LONG BEACH,CA,90806,LOS ANGELES,(562) 933-8001,Childrens,Voluntary non-profit - Other,No,,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0,33.80819,-118.17797
54009,RESNICK NEUROPSYCHIATRIC HOSPITAL AT UCLA,150 MEDICAL PLAZA-RM-4230C,LOS ANGELES,CA,90095,LOS ANGELES,(310) 825-6962,Psychiatric,Government - State,Yes,,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0,34.07121,-118.44334
54028,GATEWAYS HOSP  MENTAL HEALTH CTR,1891 EFFIE ST,LOS ANGELES,CA,90026,LOS ANGELES,(213) 666-0171,Psychiatric,Proprietary,No,,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0,34.07883,-118.2637
54032,BHC ALHAMBRA HOSPITAL,4619 N ROSEMEAD BLVD,ROSEMEAD,CA,91770,LOS ANGELES,(626) 286-1191,Psychiatric,Proprietary,No,,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0,34.06395,-118.08361
